dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.000000,2.500000,0.000002,0.000475,0.047492,4.749151,0.000000
0.010000,3.000000,2.500000,0.000012,0.001425,0.094983,4.749151,0.000000
0.010000,3.000000,2.500000,0.000033,0.002849,0.142475,4.749151,0.000000
0.010000,3.000000,2.500000,0.000071,0.004749,0.189966,4.749151,0.000000
0.010000,3.000000,2.500000,0.000131,0.007124,0.237458,4.749151,0.000000
0.010000,3.000000,2.500000,0.000216,0.009973,0.284949,4.749151,0.000000
0.010000,3.000000,2.500000,0.000332,0.013298,0.332441,4.749151,0.000000
0.010000,3.000000,2.500000,0.000484,0.017097,0.379932,4.749151,0.000000
0.010000,3.000000,2.500000,0.000677,0.021371,0.427424,4.749151,0.000000
0.010000,3.000000,2.500000,0.000914,0.026120,0.474915,4.749151,0.000000
0.010000,3.000202,2.500000,0.001202,0.031344,0.522407,4.749151,0.000000
0.010000,3.000543,2.500000,0.001543,0.037043,0.569898,4.749151,0.000000
0.010000,3.000945,2.500000,0.001945,0.043217,0.617390,4.749151,0.000000
0.010000,3.001410,2.500000,0.002410,0.049866,0.664881,4.749151,0.000000
0.010000,3.001944,2.500000,0.002944,0.056990,0.712373,4.749151,0.000000
0.010000,3.002552,2.500000,0.003552,0.064588,0.759864,4.749151,0.000000
0.010000,3.003239,2.500000,0.004239,0.072662,0.807356,4.749151,0.000000
0.010000,3.004008,2.500000,0.005008,0.081210,0.854847,4.749151,0.000000
0.010000,3.004863,2.500000,0.005863,0.089759,0.854847,0.000000,0.000000
0.010000,3.005803,2.500000,0.006803,0.098307,0.854847,0.000000,0.000000
0.010000,3.006829,2.500000,0.007829,0.106856,0.854847,-0.000000,0.000000
0.010000,3.007940,2.500000,0.008940,0.115404,0.854847,0.000000,0.000000
0.010000,3.009137,2.500000,0.010137,0.123953,0.854847,-0.000000,0.000000
0.010000,3.010419,2.500000,0.011419,0.132501,0.854847,0.000000,0.000000
0.010000,3.011787,2.500000,0.012787,0.141050,0.854847,-0.000000,0.000000
0.010000,3.013240,2.500000,0.014240,0.149598,0.854847,-0.000000,0.000000
0.010000,3.014779,2.500000,0.015779,0.158147,0.854847,0.000000,0.000000
0.010000,3.016403,2.500000,0.017403,0.166695,0.854847,0.000000,0.000000
0.010000,3.018113,2.500000,0.019113,0.175244,0.854847,-0.000000,0.000000
0.010000,3.019908,2.500000,0.020908,0.183792,0.854847,0.000000,0.000000
0.010000,3.021789,2.500000,0.022789,0.192341,0.854847,0.000000,0.000000
0.010000,3.023755,2.500000,0.024755,0.200889,0.854847,-0.000000,0.000000
0.010000,3.025807,2.500000,0.026807,0.209438,0.854847,0.000000,0.000000
0.010000,3.027944,2.500000,0.028944,0.217986,0.854847,0.000000,0.000000
0.010000,3.030166,2.500000,0.031166,0.226535,0.854847,0.000000,0.000000
0.010000,3.032474,2.500000,0.033474,0.235083,0.854847,0.000000,0.000000
0.010000,3.034868,2.500000,0.035868,0.243631,0.854847,-0.000000,0.000000
0.010000,3.037347,2.500000,0.038347,0.252180,0.854847,0.000000,0.000000
0.010000,3.039912,2.500000,0.040912,0.260728,0.854847,0.000000,0.000000
0.010000,3.042562,2.500000,0.043562,0.269277,0.854847,0.000000,0.000000
0.010000,3.045297,2.500000,0.046297,0.277825,0.854847,0.000000,0.000000
0.010000,3.048118,2.500000,0.049118,0.286374,0.854847,0.000000,0.000000
0.010000,3.051025,2.500000,0.052025,0.294922,0.854847,-0.000000,0.000000
0.010000,3.054017,2.500000,0.055017,0.303471,0.854847,0.000000,0.000000
0.010000,3.057094,2.500000,0.058094,0.312019,0.854847,0.000000,0.000000
0.010000,3.060257,2.500000,0.061257,0.320568,0.854847,0.000000,0.000000
0.010000,3.063505,2.500000,0.064505,0.329116,0.854847,0.000000,0.000000
0.010000,3.066839,2.500000,0.067839,0.337665,0.854847,0.000000,0.000000
0.010000,3.070259,2.500000,0.071259,0.346213,0.854847,0.000000,0.000000
0.010000,3.073764,2.500000,0.074764,0.354762,0.854847,-0.000000,0.000000
0.010000,3.077354,2.500000,0.078354,0.363310,0.854847,0.000000,0.000000
0.010000,3.081030,2.500000,0.082030,0.371859,0.854847,0.000000,0.000000
0.010000,3.084791,2.500000,0.085791,0.380407,0.854847,0.000000,0.000000
0.010000,3.088638,2.500000,0.089638,0.388955,0.854847,0.000000,0.000000
0.010000,3.092570,2.500000,0.093570,0.397504,0.854847,0.000000,0.000000
0.010000,3.096588,2.500000,0.097588,0.406052,0.854847,0.000000,0.000000
0.010000,3.100691,2.500000,0.101691,0.414601,0.854847,0.000000,0.000000
0.010000,3.104880,2.500000,0.105880,0.423149,0.854847,0.000000,0.000000
0.010000,3.109154,2.500000,0.110154,0.431698,0.854847,-0.000000,0.000000
0.010000,3.113514,2.500000,0.114514,0.440246,0.854847,0.000000,0.000000
0.010000,3.117959,2.500000,0.118959,0.448795,0.854847,0.000000,0.000000
0.010000,3.122490,2.500000,0.123490,0.457343,0.854847,0.000000,0.000000
0.010000,3.127106,2.500000,0.128106,0.465892,0.854847,0.000000,0.000000
0.010000,3.131808,2.500000,0.132808,0.474440,0.854847,0.000000,0.000000
0.010000,3.136595,2.500000,0.137595,0.482989,0.854847,-0.000000,0.000000
0.010000,3.141467,2.500000,0.142467,0.491537,0.854847,0.000000,0.000000
0.010000,3.146426,2.500000,0.147426,0.500086,0.854847,0.000000,0.000000
0.010000,3.151469,2.500000,0.152469,0.508634,0.854847,-0.000000,0.000000
0.010000,3.156598,2.500000,0.157598,0.517183,0.854847,0.000000,0.000000
0.010000,3.161813,2.500000,0.162813,0.525731,0.854847,-0.000000,0.000000
0.010000,3.167113,2.500000,0.168113,0.534280,0.854847,0.000000,0.000000
0.010000,3.172498,2.500000,0.173498,0.542828,0.854847,-0.000000,0.000000
0.010000,3.177969,2.500000,0.178969,0.551376,0.854847,0.000000,0.000000
0.010000,3.183526,2.500000,0.184526,0.559925,0.854847,-0.000000,0.000000
0.010000,3.189168,2.500000,0.190168,0.568473,0.854847,0.000000,0.000000
0.010000,3.194895,2.500000,0.195895,0.577022,0.854847,-0.000000,0.000000
0.010000,3.200708,2.500000,0.201708,0.585570,0.854847,0.000000,0.000000
0.010000,3.206607,2.500000,0.207607,0.594119,0.854847,-0.000000,0.000000
0.010000,3.212591,2.500000,0.213591,0.602667,0.854847,0.000000,0.000000
0.010000,3.218660,2.500000,0.219660,0.611216,0.854847,0.000000,0.000000
0.010000,3.224815,2.500000,0.225815,0.619764,0.854847,-0.000000,0.000000
0.010000,3.231055,2.500000,0.232055,0.628313,0.854847,0.000000,0.000000
0.010000,3.237381,2.500000,0.238381,0.636861,0.854847,-0.000000,0.000000
