dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.000000,2.175000,0.000002,0.000475,0.047492,4.749151,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,-0.047492,-9.498303,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,4.749151,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000000,2.175000,0.000002,0.000000,0.000000,0.000000,0.000000
0.010000,3.000202,2.175000,0.000204,0.020154,2.015353,201.535287,0.000000
0.010000,3.000543,2.175000,0.000546,0.034194,1.404036,-61.131677,0.000000
0.010000,3.000945,2.175000,0.000947,0.040130,0.593644,-81.039218,0.000000
0.010000,3.001410,2.175000,0.001413,0.046542,0.641135,4.749151,0.000000
0.010000,3.001944,2.175000,0.001947,0.053428,0.688627,4.749151,0.000000
0.010000,3.002552,2.175000,0.002555,0.060789,0.736118,4.749151,0.000000
0.010000,3.003239,2.175000,0.003241,0.068625,0.783610,4.749151,0.000000
0.010000,3.004008,2.175000,0.004010,0.076936,0.831101,4.749151,0.000000
0.010000,3.004863,2.175000,0.004865,0.085485,0.854847,2.374576,0.000000
0.010000,3.005803,2.175000,0.005806,0.094033,0.854847,-0.000000,0.000000
0.010000,3.006829,2.175000,0.006831,0.102582,0.854847,-0.000000,0.000000
0.010000,3.007940,2.175000,0.007943,0.111130,0.854847,0.000000,0.000000
0.010000,3.009137,2.175000,0.009139,0.119679,0.854847,-0.000000,0.000000
0.010000,3.010419,2.175000,0.010422,0.128227,0.854847,0.000000,0.000000
0.010000,3.011787,2.175000,0.011789,0.136776,0.854847,-0.000000,0.000000
